,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz
,70.2922928,34.40803923,738.1063062,1.221151281,2.545702313,2.732507344,70.29772095,34.44134905,738.1051007,1.228006924,2.5443857,2.739856075,70.29762032,34.47361291,738.0867024,1.318148156,2.503741722,2.750457905,70.29666446,34.43945022,738.0898332,1.433856625,2.539513082,2.760706055
,70.29237374,34.40812043,738.1062235,1.220838151,2.545937484,2.733897375,70.29833584,34.44603198,738.1050956,1.227858266,2.544174219,2.738849998,70.29836447,34.47700915,738.087417,1.316994375,2.506133118,2.750206852,70.29672537,34.44001798,738.0897165,1.43316427,2.539909042,2.761075697
,70.29219288,34.40835693,738.1061233,1.220573134,2.54602674,2.731403722,70.29903627,34.45011182,738.1051258,1.22754396,2.544075925,2.738464411,70.2993808,34.48030172,738.0880028,1.315784728,2.508472426,2.748831526,70.29694409,34.44067721,738.0897389,1.43225118,2.540633306,2.760201
,70.2923653,34.40852796,738.1060096,1.220242305,2.54608872,2.729435537,70.29973609,34.45419137,738.1051496,1.227128184,2.544152826,2.738071482,70.30037914,34.48358547,738.0883998,1.314928767,2.510429122,2.747472235,70.29688339,34.44167444,738.0897993,1.431406879,2.541170459,2.759587292
,70.29210372,34.40860104,738.1059354,1.220100118,2.546236593,2.731006055,70.30115094,34.45803161,738.1051666,1.226286536,2.544469626,2.736315945,70.30064306,34.48484805,738.0886352,1.31475299,2.512175447,2.747772619,70.29728335,34.44216864,738.0898067,1.430644476,2.541343472,2.761072666
,70.29184913,34.40867755,738.1059347,1.219763397,2.546779014,2.732559961,70.30200305,34.46074262,738.1052396,1.225175747,2.544898207,2.736126608,70.30068804,34.48496324,738.0886702,1.314904306,2.51333963,2.747769536,70.29762212,34.44359259,738.0898561,1.429799705,2.541367954,2.760854855
,70.2915369,34.40871042,738.1059731,1.219192681,2.547294186,2.732455907,70.302848,34.46345013,738.1052374,1.224244329,2.545155996,2.735944422,70.3008981,34.48565445,738.0886484,1.315121073,2.51454251,2.746218745,70.29729956,34.44621244,738.090057,1.428223825,2.54165851,2.757407235
,70.2910483,34.40860513,738.1060863,1.218418596,2.547909903,2.732476242,70.3033499,34.46463364,738.1051173,1.223876142,2.545211728,2.737882051,70.30089551,34.48564374,738.0886551,1.315091894,2.516027003,2.747344504,70.29753978,34.44890971,738.0903433,1.426445264,2.542143591,2.754821885
,70.29115845,34.40854796,738.1061994,1.217681395,2.548695782,2.731096769,70.30314658,34.46555713,738.1049396,1.223953782,2.545092478,2.738276727,70.30131765,34.48574471,738.0885911,1.315158761,2.517276065,2.748693538,70.29780477,34.45205306,738.0905954,1.425013631,2.542414743,2.755022963
,70.2911694,34.40855331,738.1063143,1.217154859,2.549460276,2.731830069,70.30284077,34.46674338,738.104754,1.223856248,2.545008241,2.737250939,70.30169186,34.48566469,738.0885678,1.315154014,2.518521001,2.751297354,70.29852485,34.4561504,738.0907796,1.423587414,2.542438896,2.753508627
