,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,,,,,,
,97.62219481,-0.510278334,755.1656459,0.914197308,-0.752201555,3.086972678,,,,,,
,97.62189248,-0.510112759,755.1656233,0.914342045,-0.752093372,3.085993708,,,,,,
,97.62169014,-0.50982988,755.1655784,0.914577908,-0.752005148,3.085146437,,,,,,
,97.62148636,-0.509546993,755.1655224,0.914826237,-0.751838023,3.084299791,,,,,,
,97.62141136,-0.509508592,755.1654811,0.915173156,-0.751601479,3.084909843,,,,,,
,97.62139881,-0.509585542,755.1654148,0.915749351,-0.751220748,3.084366763,,,,,,
,97.6216135,-0.509927309,755.1653477,0.916341679,-0.750792052,3.084589521,,,,,,
,97.6218452,-0.509983717,755.1653083,0.916959058,-0.750345137,3.085717598,,,,,,
,97.62208028,-0.510040143,755.1652951,0.917613251,-0.74985924,3.086846048,,,,,,
,97.62226071,-0.509752835,755.1652832,0.918282827,-0.749479869,3.086731708,,,,,,
,97.62225632,-0.509661869,755.1652606,0.918958563,-0.749058845,3.085691031,,,,,,
,97.62225051,-0.509570895,755.1652271,0.919587645,-0.748637146,3.084650331,,,,,,
,97.62222046,-0.509713137,755.1652085,0.919966047,-0.748254782,3.085039599,,,,,,
,97.62219103,-0.509855382,755.1651947,0.920414554,-0.74788899,3.085428741,,,,,,
,97.62215916,-0.509997614,755.165162,0.920890657,-0.747661681,3.085816825,,,,,,
,97.62206571,-0.5100245,755.1651609,0.921169216,-0.747584303,3.087358204,,,,,,
,97.62185221,-0.510121231,755.1651735,0.921377969,-0.747386953,3.088230358,,,,,,
,97.62182983,-0.51034741,755.165185,0.921569301,-0.747113629,3.087983137,,,,,,
,97.62180648,-0.510573583,755.165189,0.921668899,-0.746918276,3.087735318,,,,,,
,97.62178361,-0.510799759,755.1651967,0.921724064,-0.746808522,3.087486844,,,,,,
,97.62199546,-0.510689255,755.1651836,0.921822185,-0.7469565,3.087833868,,,,,,
,97.62220914,-0.51057876,755.1651847,0.921815563,-0.747288957,3.088179506,,,,,,
,97.62234535,-0.510352345,755.1651796,0.921896979,-0.747715841,3.086962111,,,,,,
,97.62237913,-0.510372673,755.1651563,0.921913789,-0.748199774,3.086674341,,,,,,
,97.62241166,-0.510392994,755.1651232,0.921888542,-0.748562811,3.086387506,,,,,,
